algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,425.731874,0.016628,0.152493,0.016628
Kyber512,427.018089,0.017969,0.144593,0.017969
Kyber512,426.308149,0.017582,0.120507,0.017582
Kyber512,427.106471,0.015453,0.108657,0.015453
Kyber512,425.955097,0.014084,0.122771,0.014084
Kyber512,425.331477,0.013279,0.120195,0.013279
Kyber512,427.130608,0.016758,0.124301,0.016758
Kyber512,426.294061,0.019566,0.125981,0.019566
Kyber512,426.885691,0.014053,0.127462,0.014053
Kyber512,425.305704,0.014232,0.137203,0.014232
Kyber512,425.597688,0.012803,0.125265,0.012803
Kyber512,426.126160,0.013150,0.128573,0.013150
Kyber512,426.979559,0.014270,0.142193,0.014270
Kyber512,426.430573,0.015093,0.139365,0.015093
Kyber512,427.540417,0.017824,0.120299,0.017824
Kyber512,426.190613,0.028864,0.136870,0.028864
Kyber512,426.078845,0.012711,0.126386,0.012711
Kyber512,426.979726,0.020870,0.128615,0.020870
Kyber512,426.200086,0.015299,0.125309,0.015299
Kyber512,426.275515,0.014132,0.132434,0.014132
Kyber512,426.653615,0.012964,0.129113,0.012964
Kyber512,426.333093,0.015761,0.140364,0.015761
Kyber512,431.293556,0.014518,0.131422,0.014518
Kyber512,426.560565,0.015660,0.203362,0.015660
Kyber512,426.634536,0.016281,0.129501,0.016281
Kyber512,427.028192,0.016733,0.155253,0.016733
Kyber512,426.373418,0.016847,0.129770,0.016847
Kyber512,426.355484,0.011973,0.133337,0.011973
Kyber512,425.513859,0.012209,0.128125,0.012209
Kyber512,426.513131,0.026624,0.142922,0.026624
Kyber512,426.482244,0.016372,0.132506,0.016372
Kyber512,426.206021,0.013253,0.134420,0.013253
Kyber512,426.372337,0.018837,0.126588,0.018837
Kyber512,426.246139,0.014917,0.134318,0.014917
Kyber512,425.599865,0.019069,0.122258,0.019069
Kyber512,425.870713,0.015950,0.126436,0.015950
Kyber512,426.969928,0.014234,0.182142,0.014234
Kyber512,426.240562,0.016433,0.133243,0.016433
Kyber512,425.995803,0.015027,0.131407,0.015027
Kyber512,426.127438,0.014730,0.145927,0.014730
Kyber512,426.089479,0.015878,0.127287,0.015878
Kyber512,426.075061,0.016838,0.140232,0.016838
Kyber512,426.364398,0.013704,0.121745,0.013704
Kyber512,425.065162,0.012054,0.134176,0.012054
Kyber512,426.915903,0.015634,0.153543,0.015634
Kyber512,426.318958,0.017645,0.117663,0.017645
Kyber512,426.637985,0.013608,0.123292,0.013608
Kyber512,427.060671,0.016850,0.136105,0.016850
Kyber512,426.038644,0.013474,0.145114,0.013474
Kyber512,427.263711,0.017148,0.128238,0.017148
Kyber512,425.488450,0.015960,0.129519,0.015960
Kyber512,426.470166,0.016575,0.118487,0.016575
Kyber512,427.103702,0.010703,0.146592,0.010703
Kyber512,426.562491,0.011472,0.147057,0.011472
Kyber512,426.235334,0.010680,0.122699,0.010680
Kyber512,426.296418,0.014215,0.132557,0.014215
Kyber512,427.558165,0.011622,0.154226,0.011622
Kyber512,427.216858,0.088713,0.146509,0.088713
Kyber512,426.880453,0.017034,0.127570,0.017034
Kyber512,427.001292,0.017769,0.131743,0.017769
Kyber512,427.074263,0.010406,0.117431,0.010406
Kyber512,426.951128,0.016243,0.137246,0.016243
Kyber512,426.158892,0.017532,0.121296,0.017532
Kyber512,426.025422,0.014625,0.127486,0.014625
Kyber512,425.974070,0.016413,0.121248,0.016413
Kyber512,425.289521,0.014910,0.167245,0.014910
Kyber512,426.987249,0.014388,0.134413,0.014388
Kyber512,426.714506,0.017974,0.118571,0.017974
