KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,215.279309,0.014091,0.158391
P256_Kyber512,P256_Dilithium2,215.044200,0.016853,0.204378
P256_Kyber512,P256_Dilithium2,215.714518,0.015767,0.171148
P256_Kyber512,P256_Dilithium2,215.567564,0.014599,0.172821
P256_Kyber512,P256_Dilithium2,215.537327,0.015500,0.162712
P256_Kyber512,P256_Dilithium2,214.458246,0.016162,0.170381
P256_Kyber512,P256_Dilithium2,215.539949,0.016164,0.246513
P256_Kyber512,P256_Dilithium2,215.057859,0.013602,0.159329
P256_Kyber512,P256_Dilithium2,215.769214,0.015954,0.159402
P256_Kyber512,P256_Dilithium2,215.353206,0.014878,0.196761
P256_Kyber512,P256_Dilithium2,216.760474,0.017035,0.176064
P256_Kyber512,P256_Dilithium2,216.020365,0.010958,0.189052
P256_Kyber512,P256_Dilithium2,215.411780,0.018198,0.222079
P256_Kyber512,P256_Dilithium2,215.585449,0.015825,0.151971
P256_Kyber512,P256_Dilithium2,215.784986,0.013101,0.165297
P256_Kyber512,P256_Dilithium2,215.451432,0.014467,0.162495
P256_Kyber512,P256_Dilithium2,214.831756,0.017308,0.156437
P256_Kyber512,P256_Dilithium2,215.742815,0.011648,0.177057
P256_Kyber512,P256_Dilithium2,215.700788,0.020805,0.167408
P256_Kyber512,P256_Dilithium2,215.326943,0.016113,0.167307
P256_Kyber512,P256_Dilithium2,215.903746,0.016906,0.197358
P256_Kyber512,P256_Dilithium2,215.253896,0.012992,0.152439
P256_Kyber512,P256_Dilithium2,215.638611,0.017040,0.183053
P256_Kyber512,P256_Dilithium2,215.469199,0.013050,0.153001
P256_Kyber512,P256_Dilithium2,214.926228,0.016510,0.167003
P256_Kyber512,P256_Dilithium2,215.330290,0.013877,0.162044
P256_Kyber512,P256_Dilithium2,215.122143,0.016074,0.152294
P256_Kyber512,P256_Dilithium2,215.104123,0.017902,0.161612
P256_Kyber512,P256_Dilithium2,215.270135,0.016479,0.222765
P256_Kyber512,P256_Dilithium2,216.074473,0.014732,0.497526
P256_Kyber512,P256_Dilithium2,214.888858,0.015042,0.205870
P256_Kyber512,P256_Dilithium2,215.498093,0.020461,0.175115
P256_Kyber512,P256_Dilithium2,215.770883,0.012515,0.166737
P256_Kyber512,P256_Dilithium2,215.385389,0.012033,0.187630
P256_Kyber512,P256_Dilithium2,215.589124,0.013806,0.159348
P256_Kyber512,P256_Dilithium2,215.864791,0.013110,0.175665
P256_Kyber512,P256_Dilithium2,216.465260,0.009033,0.190275
P256_Kyber512,P256_Dilithium2,215.090609,0.011895,0.158586
P256_Kyber512,P256_Dilithium2,214.937818,0.013871,0.200523
P256_Kyber512,P256_Dilithium2,215.285818,0.015709,0.159640
P256_Kyber512,P256_Dilithium2,215.668553,0.015418,0.167707
P256_Kyber512,P256_Dilithium2,215.458356,0.015147,0.182256
P256_Kyber512,P256_Dilithium2,215.223984,0.012348,0.188417
P256_Kyber512,P256_Dilithium2,215.455129,0.015196,0.171491
P256_Kyber512,P256_Dilithium2,215.093111,0.011980,0.168990
P256_Kyber512,P256_Dilithium2,215.751622,0.014369,0.157838
P256_Kyber512,P256_Dilithium2,215.683782,0.018476,0.163215
P256_Kyber512,P256_Dilithium2,215.936390,0.015526,0.197076
P256_Kyber512,P256_Dilithium2,215.590934,0.013422,0.182117
P256_Kyber512,P256_Dilithium2,214.905962,0.017975,0.161578
P256_Kyber512,P256_Dilithium2,215.428713,0.017163,0.157663
P256_Kyber512,P256_Dilithium2,215.342650,0.017716,0.164710
P256_Kyber512,P256_Dilithium2,214.959698,0.011235,0.171291
P256_Kyber512,P256_Dilithium2,215.584116,0.014795,0.227541
P256_Kyber512,P256_Dilithium2,215.476060,0.013023,0.168803
P256_Kyber512,P256_Dilithium2,215.317583,0.016525,0.171113
P256_Kyber512,P256_Dilithium2,215.001484,0.014447,0.196061
P256_Kyber512,P256_Dilithium2,215.829130,0.013295,0.175478
P256_Kyber512,P256_Dilithium2,215.442232,0.013884,0.155634
P256_Kyber512,P256_Dilithium2,214.771863,0.015748,0.243148
P256_Kyber512,P256_Dilithium2,215.004814,0.015051,0.156003
P256_Kyber512,P256_Dilithium2,215.224305,0.015257,0.162981
P256_Kyber512,P256_Dilithium2,215.121256,0.024000,0.149159
P256_Kyber512,P256_Dilithium2,215.487644,0.014222,0.156470
P256_Kyber512,P256_Dilithium2,215.475087,0.014090,0.149256
P256_Kyber512,P256_Dilithium2,215.833742,0.016407,0.204602
P256_Kyber512,P256_Dilithium2,216.072907,0.013314,0.505648
P256_Kyber512,P256_Dilithium2,214.997640,0.024670,0.177908
P256_Kyber512,P256_Dilithium2,215.142560,0.014051,0.158257
P256_Kyber512,P256_Dilithium2,215.235272,0.015921,0.241331
P256_Kyber512,P256_Dilithium2,214.705689,0.014620,0.173065
P256_Kyber512,P256_Dilithium2,215.139575,0.011188,0.166005
P256_Kyber512,P256_Dilithium2,215.403573,0.016067,0.167147
P256_Kyber512,P256_Dilithium2,215.857078,0.013968,0.182215
P256_Kyber512,P256_Dilithium2,215.316295,0.016826,0.184916
P256_Kyber512,P256_Dilithium2,215.471461,0.011279,0.187996
P256_Kyber512,P256_Dilithium2,215.632571,0.014648,0.174751
P256_Kyber512,P256_Dilithium2,215.865481,0.012348,0.181587
P256_Kyber512,P256_Dilithium2,215.499133,0.015463,0.162389
P256_Kyber512,P256_Dilithium2,215.760379,0.017526,0.167900
P256_Kyber512,P256_Dilithium2,215.441639,0.017857,0.161398
P256_Kyber512,P256_Dilithium2,215.442181,0.012104,0.173929
P256_Kyber512,P256_Dilithium2,215.755358,0.011429,0.156925
P256_Kyber512,P256_Dilithium2,215.216694,0.013134,0.190373
P256_Kyber512,P256_Dilithium2,215.016186,0.015577,0.175278
P256_Kyber512,P256_Dilithium2,215.161399,0.017001,0.159209
P256_Kyber512,P256_Dilithium2,215.513978,0.012988,0.192235
P256_Kyber512,P256_Dilithium2,215.444822,0.014022,0.166742
P256_Kyber512,P256_Dilithium2,215.111423,0.015679,0.155997
P256_Kyber512,P256_Dilithium2,215.152796,0.011237,0.163245
P256_Kyber512,P256_Dilithium2,214.645388,0.011692,0.177496
P256_Kyber512,P256_Dilithium2,215.502194,0.013630,0.176268
P256_Kyber512,P256_Dilithium2,215.740753,0.023553,0.218561
P256_Kyber512,P256_Dilithium2,214.726685,0.012078,0.161132
P256_Kyber512,P256_Dilithium2,215.297085,0.012271,0.163067
P256_Kyber512,P256_Dilithium2,215.451457,0.016412,0.182751
P256_Kyber512,P256_Dilithium2,215.407648,0.017128,0.166724
P256_Kyber512,P256_Dilithium2,215.174110,0.009345,0.198876
P256_Kyber512,P256_Dilithium2,216.086612,0.017509,0.162284
P256_Kyber512,P256_Dilithium2,214.985840,0.011885,0.150745
P256_Kyber512,P256_Dilithium2,214.963876,0.015851,0.198045
P256_Kyber512,P256_Dilithium2,215.314037,0.010933,0.206426
P256_Kyber512,P256_Dilithium2,215.148702,0.015259,0.195958
P256_Kyber512,P256_Dilithium2,214.965484,0.017005,0.161027
P256_Kyber512,P256_Dilithium2,215.097400,0.014458,0.179638
P256_Kyber512,P256_Dilithium2,215.572791,0.013427,0.200419
P256_Kyber512,P256_Dilithium2,215.708159,0.016222,0.169422
P256_Kyber512,P256_Dilithium2,215.532923,0.017201,0.229292
P256_Kyber512,P256_Dilithium2,214.846705,0.013742,0.182279
P256_Kyber512,P256_Dilithium2,215.464225,0.012512,0.155486
P256_Kyber512,P256_Dilithium2,215.734068,0.016393,0.190342
P256_Kyber512,P256_Dilithium2,214.935266,0.016644,0.157223
P256_Kyber512,P256_Dilithium2,215.716855,0.014465,0.152939
P256_Kyber512,P256_Dilithium2,215.491927,0.012968,0.212129
P256_Kyber512,P256_Dilithium2,215.451876,0.016580,0.152303
P256_Kyber512,P256_Dilithium2,215.259773,0.015968,0.155981
P256_Kyber512,P256_Dilithium2,215.589421,0.015176,0.190538
P256_Kyber512,P256_Dilithium2,215.037219,0.014362,0.159296
P256_Kyber512,P256_Dilithium2,215.842953,0.016461,0.174007
P256_Kyber512,P256_Dilithium2,215.254132,0.016527,0.247249
P256_Kyber512,P256_Dilithium2,215.700875,0.013688,0.188024
P256_Kyber512,P256_Dilithium2,215.635435,0.015030,0.156989
P256_Kyber512,P256_Dilithium2,214.989194,0.016626,0.157674
P256_Kyber512,P256_Dilithium2,215.566956,0.015587,0.154226
P256_Kyber512,P256_Dilithium2,214.613489,0.013551,0.176605
P256_Kyber512,P256_Dilithium2,214.807277,0.014841,0.158303
P256_Kyber512,P256_Dilithium2,214.826167,0.014343,0.297359
P256_Kyber512,P256_Dilithium2,215.173068,0.012758,0.161057
P256_Kyber512,P256_Dilithium2,215.561991,0.014822,0.167164
