KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,214.707996,0.012484,0.160785
P256_Kyber512,P256_Dilithium2,214.712853,0.017475,0.204196
P256_Kyber512,P256_Dilithium2,215.108391,0.015685,0.160285
P256_Kyber512,P256_Dilithium2,214.528715,0.017820,0.164249
P256_Kyber512,P256_Dilithium2,215.116927,0.017093,0.171400
P256_Kyber512,P256_Dilithium2,214.750790,0.011456,0.170095
P256_Kyber512,P256_Dilithium2,214.230548,0.017024,0.188648
P256_Kyber512,P256_Dilithium2,214.892654,0.016614,0.158798
P256_Kyber512,P256_Dilithium2,214.756886,0.015838,0.161767
P256_Kyber512,P256_Dilithium2,214.921145,0.011352,0.150374
P256_Kyber512,P256_Dilithium2,215.452365,0.018431,0.179401
P256_Kyber512,P256_Dilithium2,214.822232,0.012091,0.165071
P256_Kyber512,P256_Dilithium2,215.072603,0.015310,0.188874
P256_Kyber512,P256_Dilithium2,214.787540,0.016766,0.171081
P256_Kyber512,P256_Dilithium2,214.819512,0.014886,0.173028
P256_Kyber512,P256_Dilithium2,215.803219,0.011242,0.170580
P256_Kyber512,P256_Dilithium2,214.689751,0.015729,0.169158
P256_Kyber512,P256_Dilithium2,214.331845,0.013886,0.172269
P256_Kyber512,P256_Dilithium2,213.996348,0.016312,0.175490
P256_Kyber512,P256_Dilithium2,214.723427,0.010316,0.166642
P256_Kyber512,P256_Dilithium2,214.189499,0.017589,0.162072
P256_Kyber512,P256_Dilithium2,214.349786,0.011631,0.175639
P256_Kyber512,P256_Dilithium2,214.435524,0.026033,0.149859
P256_Kyber512,P256_Dilithium2,214.243997,0.010557,0.182622
P256_Kyber512,P256_Dilithium2,215.454134,0.016276,0.154348
P256_Kyber512,P256_Dilithium2,215.352089,0.010569,0.177688
P256_Kyber512,P256_Dilithium2,214.317372,0.026249,0.177043
P256_Kyber512,P256_Dilithium2,214.836895,0.012300,0.157652
P256_Kyber512,P256_Dilithium2,214.401295,0.015372,0.172962
P256_Kyber512,P256_Dilithium2,214.745677,0.013967,0.158980
P256_Kyber512,P256_Dilithium2,214.288738,0.015361,0.182781
P256_Kyber512,P256_Dilithium2,214.468815,0.016816,0.167177
P256_Kyber512,P256_Dilithium2,214.650711,0.012572,0.162021
P256_Kyber512,P256_Dilithium2,214.249706,0.016311,0.178420
P256_Kyber512,P256_Dilithium2,214.045525,0.012965,0.170067
P256_Kyber512,P256_Dilithium2,214.746386,0.015118,0.165083
P256_Kyber512,P256_Dilithium2,215.249175,0.012454,0.161526
P256_Kyber512,P256_Dilithium2,215.120500,0.017487,0.160087
P256_Kyber512,P256_Dilithium2,214.649186,0.015112,0.166377
P256_Kyber512,P256_Dilithium2,215.043304,0.016614,0.200157
P256_Kyber512,P256_Dilithium2,214.528357,0.013971,0.161562
P256_Kyber512,P256_Dilithium2,214.256999,0.015491,0.145922
P256_Kyber512,P256_Dilithium2,214.494248,0.016920,0.231998
P256_Kyber512,P256_Dilithium2,219.959831,0.012752,0.167918
P256_Kyber512,P256_Dilithium2,214.578853,0.016090,0.160835
P256_Kyber512,P256_Dilithium2,214.887870,0.021628,0.159118
P256_Kyber512,P256_Dilithium2,214.152023,0.012630,0.160623
P256_Kyber512,P256_Dilithium2,214.190188,0.017163,0.195000
P256_Kyber512,P256_Dilithium2,214.315572,0.033101,0.181904
P256_Kyber512,P256_Dilithium2,214.728038,0.016315,0.156393
P256_Kyber512,P256_Dilithium2,215.109196,0.013450,0.250039
P256_Kyber512,P256_Dilithium2,215.441554,0.013061,0.582499
P256_Kyber512,P256_Dilithium2,214.731879,0.016250,0.211256
P256_Kyber512,P256_Dilithium2,214.451315,0.015773,0.177682
P256_Kyber512,P256_Dilithium2,215.223473,0.009208,0.163273
