KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,222.683908,0.021635,0.165221
P256_Kyber512,P256_Dilithium2,217.058064,0.016902,0.187076
P256_Kyber512,P256_Dilithium2,225.075968,0.023982,0.156062
P256_Kyber512,P256_Dilithium2,217.677892,0.010215,0.169279
P256_Kyber512,P256_Dilithium2,227.366220,0.013227,0.186679
P256_Kyber512,P256_Dilithium2,217.662005,0.012990,0.252958
P256_Kyber512,P256_Dilithium2,216.791722,0.013124,0.163203
P256_Kyber512,P256_Dilithium2,217.173994,0.010668,0.162053
P256_Kyber512,P256_Dilithium2,217.414668,0.010550,0.162419
P256_Kyber512,P256_Dilithium2,217.177234,0.020808,0.160521
P256_Kyber512,P256_Dilithium2,216.486433,0.015306,0.180916
P256_Kyber512,P256_Dilithium2,217.430980,0.010103,0.152418
P256_Kyber512,P256_Dilithium2,225.856384,0.015296,0.175585
P256_Kyber512,P256_Dilithium2,217.941510,0.015088,0.197031
P256_Kyber512,P256_Dilithium2,217.510525,0.016744,0.181097
P256_Kyber512,P256_Dilithium2,216.960600,0.017224,0.207507
P256_Kyber512,P256_Dilithium2,218.379075,0.014240,0.156037
P256_Kyber512,P256_Dilithium2,217.546912,0.015505,0.162520
P256_Kyber512,P256_Dilithium2,216.858984,0.020478,0.158471
P256_Kyber512,P256_Dilithium2,216.855713,0.009187,0.204841
P256_Kyber512,P256_Dilithium2,218.371325,0.010345,0.158809
P256_Kyber512,P256_Dilithium2,217.529155,0.011004,0.178860
P256_Kyber512,P256_Dilithium2,217.465179,0.012590,0.167177
P256_Kyber512,P256_Dilithium2,218.267439,0.014689,0.155628
P256_Kyber512,P256_Dilithium2,217.751825,0.021022,0.156214
P256_Kyber512,P256_Dilithium2,218.010714,0.014836,0.182653
P256_Kyber512,P256_Dilithium2,216.351481,0.013698,0.166462
P256_Kyber512,P256_Dilithium2,218.063938,0.010479,0.166152
P256_Kyber512,P256_Dilithium2,222.009995,0.014813,0.168994
P256_Kyber512,P256_Dilithium2,217.175596,0.013672,0.171491
P256_Kyber512,P256_Dilithium2,217.682254,0.016641,0.164581
P256_Kyber512,P256_Dilithium2,217.448637,0.017085,0.157835
P256_Kyber512,P256_Dilithium2,217.569591,0.012283,0.166189
P256_Kyber512,P256_Dilithium2,217.427023,0.012286,0.166020
P256_Kyber512,P256_Dilithium2,216.976111,0.018316,0.196560
P256_Kyber512,P256_Dilithium2,218.317143,0.013118,0.157680
P256_Kyber512,P256_Dilithium2,216.624092,0.009957,0.164918
P256_Kyber512,P256_Dilithium2,217.448340,0.020952,0.165959
P256_Kyber512,P256_Dilithium2,216.515968,0.015229,0.187650
P256_Kyber512,P256_Dilithium2,218.130616,0.013318,0.160615
P256_Kyber512,P256_Dilithium2,216.607837,0.013533,0.183880
P256_Kyber512,P256_Dilithium2,217.043835,0.015282,0.168443
P256_Kyber512,P256_Dilithium2,217.735662,0.018671,0.170404
P256_Kyber512,P256_Dilithium2,218.416809,0.018248,0.171755
P256_Kyber512,P256_Dilithium2,217.827096,0.017752,0.159645
P256_Kyber512,P256_Dilithium2,216.690793,0.015118,0.175559
P256_Kyber512,P256_Dilithium2,217.981675,0.013685,0.150104
P256_Kyber512,P256_Dilithium2,217.598152,0.010643,0.193488
P256_Kyber512,P256_Dilithium2,217.474098,0.009861,0.184819
P256_Kyber512,P256_Dilithium2,217.530802,0.016997,0.181349
P256_Kyber512,P256_Dilithium2,217.575840,0.011622,0.182283
P256_Kyber512,P256_Dilithium2,216.742530,0.015228,0.176137
P256_Kyber512,P256_Dilithium2,216.309490,0.020728,0.163633
P256_Kyber512,P256_Dilithium2,217.787641,0.011216,0.163283
P256_Kyber512,P256_Dilithium2,218.077967,0.014383,0.214185
P256_Kyber512,P256_Dilithium2,218.008644,0.015213,0.163245
P256_Kyber512,P256_Dilithium2,217.609994,0.015496,0.173151
P256_Kyber512,P256_Dilithium2,216.620151,0.014170,0.183477
P256_Kyber512,P256_Dilithium2,217.347870,0.014893,0.168195
P256_Kyber512,P256_Dilithium2,217.434915,0.018463,0.172857
P256_Kyber512,P256_Dilithium2,217.347427,0.014104,0.149750
P256_Kyber512,P256_Dilithium2,217.146278,0.017537,0.159560
P256_Kyber512,P256_Dilithium2,218.718203,0.014726,0.164496
P256_Kyber512,P256_Dilithium2,217.809379,0.013899,0.170340
P256_Kyber512,P256_Dilithium2,217.329240,0.011573,0.181456
P256_Kyber512,P256_Dilithium2,216.588813,0.014844,0.163803
P256_Kyber512,P256_Dilithium2,217.439644,0.016506,0.157338
P256_Kyber512,P256_Dilithium2,216.391744,0.015540,0.168607
P256_Kyber512,P256_Dilithium2,216.576455,0.013526,0.156225
P256_Kyber512,P256_Dilithium2,217.138454,0.010018,0.166182
P256_Kyber512,P256_Dilithium2,216.551185,0.015633,0.286333
P256_Kyber512,P256_Dilithium2,218.152660,0.016975,0.161774
P256_Kyber512,P256_Dilithium2,218.589545,0.010158,0.174335
P256_Kyber512,P256_Dilithium2,217.831706,0.011992,0.179863
P256_Kyber512,P256_Dilithium2,217.375072,0.015680,0.171808
P256_Kyber512,P256_Dilithium2,217.612067,0.012135,0.179172
P256_Kyber512,P256_Dilithium2,217.749236,0.024830,0.190918
P256_Kyber512,P256_Dilithium2,216.782933,0.010288,0.186607
P256_Kyber512,P256_Dilithium2,217.164725,0.019485,0.496651
P256_Kyber512,P256_Dilithium2,218.177861,0.014610,0.202009
P256_Kyber512,P256_Dilithium2,218.574416,0.015865,0.171368
P256_Kyber512,P256_Dilithium2,217.703897,0.019281,0.210292
P256_Kyber512,P256_Dilithium2,217.399516,0.010720,0.165485
P256_Kyber512,P256_Dilithium2,216.550193,0.012788,0.171413
P256_Kyber512,P256_Dilithium2,217.113038,0.021998,0.177221
P256_Kyber512,P256_Dilithium2,218.392029,0.013899,0.183496
P256_Kyber512,P256_Dilithium2,216.984654,0.014078,0.169389
P256_Kyber512,P256_Dilithium2,217.572120,0.013239,0.188717
P256_Kyber512,P256_Dilithium2,217.461740,0.012346,0.172484
P256_Kyber512,P256_Dilithium2,217.420225,0.014320,0.165099
P256_Kyber512,P256_Dilithium2,218.263398,0.010056,0.166244
P256_Kyber512,P256_Dilithium2,216.756397,0.017436,0.165464
P256_Kyber512,P256_Dilithium2,217.719622,0.015782,0.172141
P256_Kyber512,P256_Dilithium2,217.703426,0.011183,0.172097
P256_Kyber512,P256_Dilithium2,216.949576,0.015392,0.179752
P256_Kyber512,P256_Dilithium2,217.313954,0.014218,0.163767
P256_Kyber512,P256_Dilithium2,217.633784,0.014584,0.194321
P256_Kyber512,P256_Dilithium2,218.092240,0.013616,0.188066
P256_Kyber512,P256_Dilithium2,217.726612,0.014634,0.172296
P256_Kyber512,P256_Dilithium2,217.463353,0.011381,0.172591
P256_Kyber512,P256_Dilithium2,218.029459,0.013690,0.166274
P256_Kyber512,P256_Dilithium2,217.306387,0.011105,0.162451
P256_Kyber512,P256_Dilithium2,217.652881,0.015275,0.164810
P256_Kyber512,P256_Dilithium2,217.372205,0.014730,0.188179
P256_Kyber512,P256_Dilithium2,217.711427,0.031845,0.157510
P256_Kyber512,P256_Dilithium2,218.191959,0.009969,0.210084
P256_Kyber512,P256_Dilithium2,218.354166,0.014532,0.184603
P256_Kyber512,P256_Dilithium2,216.805735,0.011187,0.249879
P256_Kyber512,P256_Dilithium2,223.469120,0.017654,0.158804
P256_Kyber512,P256_Dilithium2,217.642648,0.016891,0.163189
P256_Kyber512,P256_Dilithium2,217.610626,0.024848,0.230998
P256_Kyber512,P256_Dilithium2,217.559064,0.015550,0.179342
P256_Kyber512,P256_Dilithium2,218.948646,0.017140,0.163985
P256_Kyber512,P256_Dilithium2,217.346246,0.016975,0.177403
P256_Kyber512,P256_Dilithium2,217.375121,0.013474,0.174795
P256_Kyber512,P256_Dilithium2,216.587521,0.013840,0.168406
P256_Kyber512,P256_Dilithium2,217.211429,0.015039,0.193333
P256_Kyber512,P256_Dilithium2,218.414790,0.015599,0.171429
